Len	LD
299	1.0
231	1.0
27	1.0
804	1.0
1357	1.0
1525	1.0
2439	1.0
2456	1.0
2460	1.0
2602	1.0
3052	1.0
3187	1.0
3259	1.0
3484	1.0
4139	1.0
4457	1.0
5012	1.0
5720	1.0
6707	1.0
6837	1.0
6876	1.0
7019	1.0
7822	1.0
8221	1.0
9097	1.0
9392	1.0
9609	1.0
9569	0.1667
9356	1.0
8896	1.0
6784	1.0
6735	1.0
6579	1.0
6551	1.0
6550	1.0
6549	1.0
6539	1.0
6531	1.0
6530	1.0
6513	1.0
6455	1.0
6446	1.0
6445	1.0
6438	1.0
6437	1.0
6428	1.0
6420	1.0
6375	1.0
6374	1.0
6332	1.0
6302	1.0
6301	1.0
6290	0.5238
6202	1.0
6085	1.0
6019	1.0
6018	1.0
6017	1.0
6014	1.0
5957	1.0
5847	1.0
5833	1.0
5790	1.0
5722	1.0
5721	1.0
5688	1.0
5670	1.0
5668	1.0
5594	0.4444
5584	1.0
5463	1.0
5462	1.0
5442	1.0
5295	1.0
5272	1.0
5262	1.0
5261	1.0
5260	1.0
5251	0.1667
5240	1.0
5239	1.0
5162	1.0
5148	1.0
5105	1.0
5103	1.0
5080	1.0
5036	1.0
5035	1.0
5002	1.0
4984	1.0
4982	1.0
4908	0.0476
4898	1.0
4776	1.0
4771	1.0
4638	1.0
4584	1.0
4575	1.0
4571	1.0
4501	1.0
4306	1.0
4277	1.0
4276	1.0
4212	1.0
4145	1.0
4020	1.0
4012	1.0
4011	1.0
4002	0.1667
3996	0.0476
3678	1.0
3551	1.0
3543	1.0
3536	1.0
3509	1.0
3212	1.0
3087	1.0
3085	1.0
3070	1.0
3065	0.3333
2747	1.0
2622	1.0
2605	1.0
2586	1.0
2577	0.1667
2392	1.0
2293	1.0
2282	1.0
1516	1.0
1477	1.0
1452	1.0
1396	1.0
1119	1.0
1033	1.0
513	1.0
408	1.0
351	1.0
326	1.0
258	1.0
27	1.0
777	1.0
1330	1.0
1498	1.0
2412	1.0
2429	1.0
2433	1.0
2575	1.0
3025	1.0
3160	1.0
3232	1.0
3457	1.0
4112	1.0
4430	1.0
4985	1.0
5693	1.0
6680	1.0
6810	1.0
6849	1.0
6992	1.0
7795	1.0
8194	1.0
9070	1.0
9365	1.0
9636	1.0
9596	0.1667
9383	1.0
8923	1.0
6811	1.0
6762	1.0
6606	1.0
6578	1.0
6577	1.0
6576	1.0
6566	1.0
6558	1.0
6557	1.0
6540	1.0
6482	1.0
6473	1.0
6472	1.0
6465	1.0
6464	1.0
6455	1.0
6447	1.0
6402	1.0
6401	1.0
6359	1.0
6329	1.0
6328	1.0
6317	0.5238
6229	1.0
6112	1.0
6046	1.0
6045	1.0
6044	1.0
6041	1.0
5984	1.0
5874	1.0
5860	1.0
5817	1.0
5749	1.0
5748	1.0
5715	1.0
5697	1.0
5695	1.0
5621	0.4444
5611	1.0
5490	1.0
5489	1.0
